REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2042,26033.3375249989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2043,24987.6287249989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2044,23941.9700649989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2045,22896.261264999
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2046,21850.5524649989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2047,20804.8938049991
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2048,19759.1850049991
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2049,18713.5263449988
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2050,17667.8175449988
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2051,15300.770864999
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2052,12667.652064999
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2053,10034.2017849989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2054,7401.08298499894
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2055,4767.63270499896
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2056,2134.18242499893
"R1","S2D1","TRANSMISSION",1,"ELC_01",2020,17479.2768
"R1","S2D1","TRANSMISSION",1,"ELC_01",2021,17847.962208
"R1","S2D1","TRANSMISSION",1,"ELC_01",2022,18216.551152
"R1","S2D1","TRANSMISSION",1,"ELC_01",2023,18585.23656
"R1","S2D1","TRANSMISSION",1,"ELC_01",2024,18953.825504
"R1","S2D1","TRANSMISSION",1,"ELC_01",2025,19322.510912
"R1","S2D1","TRANSMISSION",1,"ELC_01",2026,19691.19632
"R1","S2D1","TRANSMISSION",1,"ELC_01",2027,20059.785264
"R1","S2D1","TRANSMISSION",1,"ELC_01",2028,20428.470672
"R1","S2D1","TRANSMISSION",1,"ELC_01",2029,20797.059616
"R1","S2D1","TRANSMISSION",1,"ELC_01",2030,21165.745024
"R1","S2D1","TRANSMISSION",1,"ELC_01",2031,21534.430432
"R1","S2D1","TRANSMISSION",1,"ELC_01",2032,21903.019376
"R1","S2D1","TRANSMISSION",1,"ELC_01",2033,22271.704784
"R1","S2D1","TRANSMISSION",1,"ELC_01",2034,22640.293728
"R1","S2D1","TRANSMISSION",1,"ELC_01",2035,23008.979136
"R1","S2D1","TRANSMISSION",1,"ELC_01",2036,23377.664544
"R1","S2D1","TRANSMISSION",1,"ELC_01",2037,23746.253488
"R1","S2D1","TRANSMISSION",1,"ELC_01",2038,24114.938896
"R1","S2D1","TRANSMISSION",1,"ELC_01",2039,24483.52784
"R1","S2D1","TRANSMISSION",1,"ELC_01",2040,24852.213248
"R1","S2D1","TRANSMISSION",1,"ELC_01",2041,25220.898656
"R1","S2D1","TRANSMISSION",1,"ELC_01",2042,25589.4876
"R1","S2D1","TRANSMISSION",1,"ELC_01",2043,25958.173008
"R1","S2D1","TRANSMISSION",1,"ELC_01",2044,26326.761952
"R1","S2D1","TRANSMISSION",1,"ELC_01",2045,26695.44736
"R1","S2D1","TRANSMISSION",1,"ELC_01",2046,27064.132768
"R1","S2D1","TRANSMISSION",1,"ELC_01",2047,27432.721712
"R1","S2D1","TRANSMISSION",1,"ELC_01",2048,27801.40712
"R1","S2D1","TRANSMISSION",1,"ELC_01",2049,28169.996064
"R1","S2D1","TRANSMISSION",1,"ELC_01",2050,28538.681472
"R1","S2D1","TRANSMISSION",1,"ELC_01",2051,28907.36688
"R1","S2D1","TRANSMISSION",1,"ELC_01",2052,29275.955824
"R1","S2D1","TRANSMISSION",1,"ELC_01",2053,29644.641232
"R1","S2D1","TRANSMISSION",1,"ELC_01",2054,30013.230176
"R1","S2D1","TRANSMISSION",1,"ELC_01",2055,30381.915584
"R1","S2D1","TRANSMISSION",1,"ELC_01",2056,30750.600992
"R1","S2D1","TRANSMISSION",1,"ELC_01",2057,31119.189936
"R1","S2D1","TRANSMISSION",1,"ELC_01",2058,31487.875344
"R1","S2D1","TRANSMISSION",1,"ELC_01",2059,31856.464288
"R1","S2D1","TRANSMISSION",1,"ELC_01",2060,32225.149696
"R1","S2D1","TRANSMISSION",1,"ELC_01",2061,32593.835104
"R1","S2D1","TRANSMISSION",1,"ELC_01",2062,32962.424048
"R1","S2D1","TRANSMISSION",1,"ELC_01",2063,33331.109456
"R1","S2D1","TRANSMISSION",1,"ELC_01",2064,33699.6984
"R1","S2D1","TRANSMISSION",1,"ELC_01",2065,34068.383808
"R1","S2D1","TRANSMISSION",1,"ELC_01",2066,34437.069216
"R1","S2D1","TRANSMISSION",1,"ELC_01",2067,34805.65816
"R1","S2D1","TRANSMISSION",1,"ELC_01",2068,35174.343568
"R1","S2D1","TRANSMISSION",1,"ELC_01",2069,35542.932512
"R1","S2D1","TRANSMISSION",1,"ELC_01",2070,35911.61792
"R1","S2D1","HYDRO",1,"WATER",2020,11274.12
"R1","S2D1","HYDRO",1,"WATER",2021,11048.6376
"R1","S2D1","HYDRO",1,"WATER",2022,10823.1552
"R1","S2D1","HYDRO",1,"WATER",2023,10597.6728
"R1","S2D1","HYDRO",1,"WATER",2024,10372.1904
"R1","S2D1","HYDRO",1,"WATER",2025,10146.708
"R1","S2D1","HYDRO",1,"WATER",2026,9921.2256
"R1","S2D1","HYDRO",1,"WATER",2027,9695.7432
"R1","S2D1","HYDRO",1,"WATER",2028,9470.2608
"R1","S2D1","HYDRO",1,"WATER",2029,9244.7784
"R1","S2D1","HYDRO",1,"WATER",2030,9019.296
"R1","S2D1","HYDRO",1,"WATER",2031,8793.8136
"R1","S2D1","HYDRO",1,"WATER",2032,8568.3312
"R1","S2D1","HYDRO",1,"WATER",2033,8342.8488
"R1","S2D1","HYDRO",1,"WATER",2034,8740.26775380046
"R1","S2D1","HYDRO",1,"WATER",2035,9589.18404180047
"R1","S2D1","HYDRO",1,"WATER",2036,10438.1003298005
"R1","S2D1","HYDRO",1,"WATER",2037,11286.8928282005
"R1","S2D1","HYDRO",1,"WATER",2038,12135.8091162005
"R1","S2D1","HYDRO",1,"WATER",2039,12984.6016146005
"R1","S2D1","HYDRO",1,"WATER",2040,13833.5179026005
"R1","S2D1","HYDRO",1,"WATER",2041,14682.4341906005
"R1","S2D1","HYDRO",1,"WATER",2042,15531.2266890005
"R1","S2D1","HYDRO",1,"WATER",2043,16380.1429770004
"R1","S2D1","HYDRO",1,"WATER",2044,17228.9354754005
"R1","S2D1","HYDRO",1,"WATER",2045,18077.8517634005
"R1","S2D1","HYDRO",1,"WATER",2046,18926.7680514005
"R1","S2D1","HYDRO",1,"WATER",2047,19775.5605498005
"R1","S2D1","HYDRO",1,"WATER",2048,20624.4768378005
"R1","S2D1","HYDRO",1,"WATER",2049,21473.2693362005
"R1","S2D1","HYDRO",1,"WATER",2050,22322.1856242005
"R1","S2D1","HYDRO",1,"WATER",2051,23752.4905794005
"R1","S2D1","HYDRO",1,"WATER",2052,25299.7655394005
"R1","S2D1","HYDRO",1,"WATER",2053,26847.2880786005
"R1","S2D1","HYDRO",1,"WATER",2054,28394.5630386005
"R1","S2D1","HYDRO",1,"WATER",2055,29942.0855778005
"R1","S2D1","HYDRO",1,"WATER",2056,31489.6081170005
"R1","S2D1","HYDRO",1,"WATER",2057,33036.8830770005
"R1","S2D1","HYDRO",1,"WATER",2058,33846.7240584
"R1","S2D1","HYDRO",1,"WATER",2059,34684.656776
"R1","S2D1","HYDRO",1,"WATER",2060,35086.073792
"R1","S2D1","HYDRO",1,"WATER",2061,35487.490808
"R1","S2D1","HYDRO",1,"WATER",2062,35888.802796
"R1","S2D1","HYDRO",1,"WATER",2063,36290.219812
"R1","S2D1","HYDRO",1,"WATER",2064,36934.5284352
"R1","S2D1","HYDRO",1,"WATER",2065,37407.6522864
"R1","S2D1","HYDRO",1,"WATER",2066,37880.7761376
"R1","S2D1","HYDRO",1,"WATER",2067,38286.223976
"R1","S2D1","HYDRO",1,"WATER",2068,38691.7779248
"R1","S2D1","HYDRO",1,"WATER",2069,39097.2257632
"R1","S2D1","HYDRO",1,"WATER",2070,39502.779712
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2020,18075.192
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2021,19509.36552
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2022,20943.29788
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2023,22377.4714
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2024,23811.40376
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2025,25245.57728
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2026,26679.7508
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2027,28113.68316
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2028,29547.85668
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2029,30981.78904
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2030,32415.96256
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2031,33850.13608
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2032,35284.06844
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2033,36718.24196
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2034,36736.489424999
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2035,35728.8477449989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2036,34721.2060649989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2037,33713.6045649989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2038,32705.962884999
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2039,31698.3613849989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2040,30690.719704999
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2041,29683.0780249989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2042,28675.4765249989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2043,27667.8348449989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2044,26660.2333449989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2045,25652.5916649989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2046,24644.949984999
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2047,23637.348484999
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2048,22629.7068049989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2049,21622.1053049989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2050,20614.4636249989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2051,18285.484064999
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2052,15690.422424999
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2053,13095.0392649989
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2054,10499.977624999
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2055,7904.59446499896
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2056,5309.21130499894
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2057,2714.14966499896
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2058,1795.3155
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2059,812.395320000019
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2060,821.797440000021
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2061,831.199560000004
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2062,840.59921999998
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2063,850.00134000006
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2064,307.135919999993
"R1","S2D1","FOSSIL",1,"FOSSIL_FUEL",2065,153.567960000011
"R1","S2D2","TRANSMISSION",1,"ELC_01",2020,17080.6368
"R1","S2D2","TRANSMISSION",1,"ELC_01",2021,17440.913808
"R1","S2D2","TRANSMISSION",1,"ELC_01",2022,17801.096552
"R1","S2D2","TRANSMISSION",1,"ELC_01",2023,18161.37356
"R1","S2D2","TRANSMISSION",1,"ELC_01",2024,18521.556304
"R1","S2D2","TRANSMISSION",1,"ELC_01",2025,18881.833312
"R1","S2D2","TRANSMISSION",1,"ELC_01",2026,19242.11032
"R1","S2D2","TRANSMISSION",1,"ELC_01",2027,19602.293064
"R1","S2D2","TRANSMISSION",1,"ELC_01",2028,19962.570072
"R1","S2D2","TRANSMISSION",1,"ELC_01",2029,20322.752816
"R1","S2D2","TRANSMISSION",1,"ELC_01",2030,20683.029824
"R1","S2D2","TRANSMISSION",1,"ELC_01",2031,21043.306832
"R1","S2D2","TRANSMISSION",1,"ELC_01",2032,21403.489576
"R1","S2D2","TRANSMISSION",1,"ELC_01",2033,21763.766584
"R1","S2D2","TRANSMISSION",1,"ELC_01",2034,22123.949328
"R1","S2D2","TRANSMISSION",1,"ELC_01",2035,22484.226336
"R1","S2D2","TRANSMISSION",1,"ELC_01",2036,22844.503344
"R1","S2D2","TRANSMISSION",1,"ELC_01",2037,23204.686088
"R1","S2D2","TRANSMISSION",1,"ELC_01",2038,23564.963096
"R1","S2D2","TRANSMISSION",1,"ELC_01",2039,23925.14584
"R1","S2D2","TRANSMISSION",1,"ELC_01",2040,24285.422848
"R1","S2D2","TRANSMISSION",1,"ELC_01",2041,24645.699856
"R1","S2D2","TRANSMISSION",1,"ELC_01",2042,25005.8826
"R1","S2D2","TRANSMISSION",1,"ELC_01",2043,25366.159608
"R1","S2D2","TRANSMISSION",1,"ELC_01",2044,25726.342352
"R1","S2D2","TRANSMISSION",1,"ELC_01",2045,26086.61936
"R1","S2D2","TRANSMISSION",1,"ELC_01",2046,26446.896368
"R1","S2D2","TRANSMISSION",1,"ELC_01",2047,26807.079112
"R1","S2D2","TRANSMISSION",1,"ELC_01",2048,27167.35612
"R1","S2D2","TRANSMISSION",1,"ELC_01",2049,27527.538864
"R1","S2D2","TRANSMISSION",1,"ELC_01",2050,27887.815872
"R1","S2D2","TRANSMISSION",1,"ELC_01",2051,28248.09288
"R1","S2D2","TRANSMISSION",1,"ELC_01",2052,28608.275624
"R1","S2D2","TRANSMISSION",1,"ELC_01",2053,28968.552632
"R1","S2D2","TRANSMISSION",1,"ELC_01",2054,29328.735376
"R1","S2D2","TRANSMISSION",1,"ELC_01",2055,29689.012384
"R1","S2D2","TRANSMISSION",1,"ELC_01",2056,30049.289392
"R1","S2D2","TRANSMISSION",1,"ELC_01",2057,30409.472136
"R1","S2D2","TRANSMISSION",1,"ELC_01",2058,30769.749144
"R1","S2D2","TRANSMISSION",1,"ELC_01",2059,31129.931888
"R1","S2D2","TRANSMISSION",1,"ELC_01",2060,31490.208896
"R1","S2D2","TRANSMISSION",1,"ELC_01",2061,31850.485904
"R1","S2D2","TRANSMISSION",1,"ELC_01",2062,32210.668648
"R1","S2D2","TRANSMISSION",1,"ELC_01",2063,32570.945656
"R1","S2D2","TRANSMISSION",1,"ELC_01",2064,32931.1284
"R1","S2D2","TRANSMISSION",1,"ELC_01",2065,33291.405408
"R1","S2D2","TRANSMISSION",1,"ELC_01",2066,33651.682416
"R1","S2D2","TRANSMISSION",1,"ELC_01",2067,34011.86516
"R1","S2D2","TRANSMISSION",1,"ELC_01",2068,34372.142168
"R1","S2D2","TRANSMISSION",1,"ELC_01",2069,34732.324912
"R1","S2D2","TRANSMISSION",1,"ELC_01",2070,35092.60192
"R1","S2D2","HYDRO",1,"WATER",2020,11274.12
"R1","S2D2","HYDRO",1,"WATER",2021,11048.6376
"R1","S2D2","HYDRO",1,"WATER",2022,10823.1552
"R1","S2D2","HYDRO",1,"WATER",2023,10597.6728
"R1","S2D2","HYDRO",1,"WATER",2024,10372.1904
"R1","S2D2","HYDRO",1,"WATER",2025,10146.708
"R1","S2D2","HYDRO",1,"WATER",2026,9921.2256
"R1","S2D2","HYDRO",1,"WATER",2027,9695.7432
"R1","S2D2","HYDRO",1,"WATER",2028,9470.2608
"R1","S2D2","HYDRO",1,"WATER",2029,9244.7784
"R1","S2D2","HYDRO",1,"WATER",2030,9019.296
"R1","S2D2","HYDRO",1,"WATER",2031,8793.8136
"R1","S2D2","HYDRO",1,"WATER",2032,8568.3312
"R1","S2D2","HYDRO",1,"WATER",2033,8342.8488
"R1","S2D2","HYDRO",1,"WATER",2034,8740.26775380046
"R1","S2D2","HYDRO",1,"WATER",2035,9589.18404180047
"R1","S2D2","HYDRO",1,"WATER",2036,10438.1003298005
"R1","S2D2","HYDRO",1,"WATER",2037,11286.8928282005
"R1","S2D2","HYDRO",1,"WATER",2038,12135.8091162005
"R1","S2D2","HYDRO",1,"WATER",2039,12984.6016146005
"R1","S2D2","HYDRO",1,"WATER",2040,13833.5179026005
"R1","S2D2","HYDRO",1,"WATER",2041,14682.4341906005
"R1","S2D2","HYDRO",1,"WATER",2042,15531.2266890005
"R1","S2D2","HYDRO",1,"WATER",2043,16380.1429770005
"R1","S2D2","HYDRO",1,"WATER",2044,17228.9354754005
"R1","S2D2","HYDRO",1,"WATER",2045,18077.8517634005
"R1","S2D2","HYDRO",1,"WATER",2046,18926.7680514005
"R1","S2D2","HYDRO",1,"WATER",2047,19775.5605498005
"R1","S2D2","HYDRO",1,"WATER",2048,20624.4768378005
"R1","S2D2","HYDRO",1,"WATER",2049,21473.2693362005
"R1","S2D2","HYDRO",1,"WATER",2050,22322.1856242005
"R1","S2D2","HYDRO",1,"WATER",2051,23752.4905794005
"R1","S2D2","HYDRO",1,"WATER",2052,25299.7655394005
"R1","S2D2","HYDRO",1,"WATER",2053,26847.2880786005
"R1","S2D2","HYDRO",1,"WATER",2054,28394.5630386005
